yyyy,mm,tmax,tmin,latitude,longitude
,,degC,degC,-1.25,52.836
1976,10,13.6,7.3,,
1976,11,8.9,2.2,,
1976,12,4.1,-0.5,,
1977,1,5,*    0.3,,
1977,2,7.7,*    2.1,,
1977,3,10.4,3.7,,
1977,4,11.2,3.3,,
1977,5,15.1,5.8,,
1977,6,16.7,7.8,,
1977,7,19.9,11.3,,
1977,8,19.6,11.1,,
1977,9,17.4,9.6,,
1977,10,14.9,7.7,,
1977,11,9.6,3.4,,
1977,12,8.5,2.7,,
1978,1,6,-0.1,,
1978,2,5.3,-1.3,,
1978,3,10.8,2.5,,
1978,4,9.7,2.1,,
1978,5,16.1,5.3,,
1978,6,17.9,8.4,,
1978,7,19.1,9.6,,
1978,8,19,10.4,,
1978,9,18.1,9.5,,
1978,10,15.4,7.3,,
1978,11,11.8,4.2,,
1978,12,6.4,0.2,,
1979,1,3.1,-4.7,,
1979,2,3.5,-2,,
1979,3,8.3,1.1,,
1979,4,11.6,3.4,,
1979,5,14.8,5,,
1979,6,18.9,8.8,,
1979,7,21,10.6,,
1979,8,19.6,10.4,,
1979,9,18.2,8.1,,
1979,10,15,6.4,,
1979,11,10.4,2.4,,
1979,12,8.6,2.6,,
1980,1,5.4,-1,,
1980,2,8.9,2.5,,
1980,3,8.3,1.2,,
1980,4,13.1,*    3.4,,
1980,5,15.9,5.1,,
1980,6,18.1,9.6,,
1980,7,18.3,10.3,,
1980,8,20.1,11.5,,
1980,9,18.5,11.1,,
1980,10,12.3,5.3,,
1980,11,8.9,4.1,,
1980,12,8.6,2.6,,
1981,1,7.4,1.9,,
1981,2,5.5,-0.2,,
1981,3,10.6,5,,
1981,4,11,3.7,,
1981,5,15.6,6.9,,
1981,6,17.3,9.6,,
1981,7,20,11.5,,
1981,8,20.8,11.4,,
1981,9,19.1,10.4,,
1981,10,11.7,4.6,,
1981,11,10.6,4,,
1981,12,2.8,-3.9,,
1982,1,5.5,-1.2,,
1982,2,7.7,1.6,,
1982,3,10,2,,
1982,4,13.3,3.8,,
1982,5,16.9,5.2,,
1982,6,19.6,11,,
1982,7,21.3,11.8,,
1982,8,19.8,12.1,,
1982,9,18.5,9.6,,
1982,10,13.2,6.9,,
1982,11,10.1,5.2,,
1982,12,7.2,1.1,,
1983,1,9.6,3.8,,
1983,2,3.9,-1.4,,
1983,3,9.7,3.5,,
1983,4,11,2.8,,
1983,5,13.7,6.7,,
1983,6,18.4,9.6,,
1983,7,25,12.6,,
1983,8,22.8,11.8,,
1983,9,17.3,10.4,,
1983,10,13.8,7.1,,
1983,11,10.1,5.1,,
1983,12,8.4,2.4,,
1984,1,6.2,0.7,,
1984,2,5.9,0.4,,
1984,3,7.4,1.9,,
1984,4,13.1,2.3,,
1984,5,14.4,5,,
1984,6,18.9,9.8,,
1984,7,22,10.5,,
1984,8,22.7,11.9,,
1984,9,17,10.4,,
1984,10,14.9,7.7,,
1984,11,10.4,5.5,,
1984,12,7.7,2.3,,
1985,1,4.1,-2.2,,
1985,2,4.7,-1.4,,
1985,3,8.4,1,,
1985,4,12.2,4.4,,
1985,5,14.8,6.4,,
1985,6,16.5,8,,
1985,7,20.4,11.8,,
1985,8,18.6,11.1,,
1985,9,19.1,10.4,,
1985,10,14.7,7.6,,
1985,11,7,0.8,,
1985,12,8.8,3.9,,
1986,1,6,0.5,,
1986,2,0.9,-4.1,,
1986,3,9.1,1.5,,
1986,4,9.8,2,,
1986,5,15.6,7.1,,
1986,6,19.5,9.3,,
1986,7,20.6,11.2,,
1986,8,17.5,9.8,,
1986,9,16,5.9,,
1986,10,14.6,6.6,,
1986,11,10.8,4.5,,
1986,12,9,3.2,,
1987,1,3.1,-1.9,,
1987,2,6.8,0.8,,
1987,3,7.5,0.6,,
1987,4,14.9,5.3,,
1987,5,14.3,5.4,,
1987,6,16.6,8.6,,
1987,7,20.1,11.5,,
1987,8,19.9,11.8,,
1987,9,17.9,9.4,,
1987,10,13.2,5.8,,
1987,11,8.5,4,,
1987,12,8.1,3.1,,
1988,1,8,2.7,,
1988,2,7.9,1.8,,
1988,3,9.8,2.9,,
1988,4,11.8,4,,
1988,5,16,6.5,,
1988,6,18.5,9.7,,
1988,7,18.5,11.6,,
1988,8,19.9,11.1,,
1988,9,17.5,9.7,,
1988,10,13.9,7.1,,
1988,11,8.7,0.8,,
1988,12,10,4.5,,
1989,1,9,3.2,,
1989,2,9.4,2.5,,
1989,3,11.6,3.8,,
1989,4,9.9,2.5,,
1989,5,18.6,6.7,,
1989,6,20.2,8.1,,
1989,7,23.4,11.9,,
1989,8,21.9,11.3,,
1989,9,19.2,10.4,,
1989,10,15.4,8,,
1989,11,9.1,2.7,,
1989,12,7.3,2.6,,
1990,1,9.5,3.8,,
1990,2,10.8,4.6,,
1990,3,12.5,4.7,,
1990,4,13.1,2.2,,
1990,5,18.4,5.6,,
1990,6,18.1,9.5,,
1990,7,22.9,10.6,,
1990,8,24.1,13.1,,
1990,9,17.7,8.8,,
1990,10,15.5,9.1,,
1990,11,9.4,4.4,,
1990,12,7,1.8,,
1991,1,5.9,0,,
1991,2,5.2,-1.3,,
1991,3,11.6,4.8,,
1991,4,11.9,3.8,,
1991,5,15.2,6.8,,
1991,6,16.3,8,,
1991,7,22.3,12.6,,
1991,8,22.7,11.1,,
1991,9,20.4,9.3,,
1991,10,13.5,6.9,,
1991,11,9.7,3.7,,
1991,12,7.3,1.2,,
1992,1,6,0.5,,
1992,2,9.1,2.5,,
1992,3,10.9,4.1,,
1992,4,12.8,4.7,,
1992,5,19,7.9,,
1992,6,21.5,10.4,,
1992,7,20.4,12.1,,
1992,8,20,11.2,,
1992,9,17,9.8,,
1992,10,10.8,4.8,,
1992,11,10.6,3.9,,
1992,12,5.9,0.7,,
1993,1,9.1,2.5,,
1993,2,7.3,2.4,,
1993,3,10.5,3.1,,
