yyyy,mm,tmax,tmin,latitude,longitude
1871,10,13.8,6.7,,
1871,11,8.4,2.5,,
1871,12,7.6,1.1,,
1872,1,7.9,1.5,,
1872,2,9.9,4.2,,
1872,3,10.6,3.6,,
1872,4,13.1,4.5,,
1872,5,14.4,6.2,,
1872,6,18.2,9.5,,
1872,7,21.3,12.7,,
1872,8,19.8,11.9,,
1872,9,16.4,9.7,,
1872,10,11.8,4.5,,
1872,11,9.2,2.8,,
1872,12,7.4,2,,
1873,1,7.8,1.9,,
1873,2,6.2,-0.4,,
1873,3,9.2,2.1,,
1873,4,13.1,4.6,,
1873,5,15.3,6.1,,
1873,6,19.8,10.7,,
1873,7,20.5,12.5,,
1873,8,18.6,11.6,,
1873,9,16.2,7.8,,
1873,10,11.9,4.5,,
1873,11,9.3,2.9,,
1873,12,9.9,4.1,,
1874,1,8.9,2.6,,
1874,2,9,2.4,,
1874,3,11.4,4.1,,
1874,4,14.8,5.5,,
1874,5,15.2,6.6,,
1874,6,20,9.5,,
1874,7,21.6,12.4,,
1874,8,19.7,11.1,,
1874,9,16.2,9.5,,
1874,10,12.7,4.9,,
1874,11,10.4,4.4,,
1874,12,4.8,-1.6,,
1875,1,9.7,3.9,,
1875,2,7.3,1.1,,
1875,3,9.5,2.9,,
1875,4,14.7,4.5,,
1875,5,17.7,8.2,,
1875,6,18.6,9.5,,
1875,7,19.5,10,,
1875,8,20.7,12.8,,
1875,9,18.3,11.1,,
1875,10,12.8,6.5,,
1875,11,8.6,2.6,,
1875,12,7.3,0.8,,
1876,1,8.3,2.3,,
1876,2,8.5,1,,
1876,3,8.3,0.2,,
1876,4,12.5,3.7,,
1876,5,15.7,6.2,,
1876,6,19.1,9.3,,
1876,7,21.8,11.5,,
1876,8,20.5,11.1,,
1876,9,16.4,9,,
1876,10,14.2,8.7,,
1876,11,9.8,4.3,,
1876,12,9.1,3.3,,
1877,1,8.5,2,,
1877,2,9.4,2.8,,
1877,3,9.8,1.5,,
1877,4,10.7,3.8,,
1877,5,14.3,5.3,,
1877,6,19.7,10.3,,
1877,7,19,10.8,,
1877,8,18.9,11,,
1877,9,16,7.6,,
1877,10,13.9,6.7,,
1877,11,10,3.3,,
1877,12,8.4,1.9,,
1878,1,8.5,2.3,,
1878,2,9.6,3.5,,
1878,3,10.2,2.9,,
1878,4,13.8,5.2,,
1878,5,16.3,7.9,,
1878,6,19.4,10.6,,
1878,7,21.5,12.2,,
1878,8,20.6,12.5,,
1878,9,17.8,9.9,,
1878,10,13.9,7.4,,
1878,11,6.9,-0.3,,
1878,12,3.3,-4.2,,
1879,1,4.2,-2,,
1879,2,6.7,0.7,,
1879,3,8.6,1,,
1879,4,10.9,2.6,,
1879,5,14.4,4.8,,
1879,6,17.8,9.8,,
1879,7,17.7,10.6,,
1879,8,18.7,10.5,,
1879,9,15.7,8.2,,
1879,10,12.4,5.5,,
1879,11,9,2.9,,
1879,12,5.4,-1.4,,
1880,1,6.8,1.3,,
1880,2,9.7,3,,
1880,3,11.3,3.2,,
1880,4,12.7,3.9,,
1880,5,16.1,6.5,,
1880,6,17,9.7,,
1880,7,17.1,10.9,,
1880,8,19.6,13.1,,
1880,9,17.1,10.6,,
1880,10,9.4,3.4,,
1880,11,8.1,2.8,,
1880,12,6.9,2.2,,
1881,1,2,-3.3,,
1881,2,6.2,1.6,,
1881,3,8.3,2.2,,
1881,4,10.4,3.8,,
1881,5,15.6,7.4,,
1881,6,15.9,9.2,,
1881,7,17.9,11,,
1881,8,16,9.8,,
1881,9,14.9,8.5,,
1881,10,10.8,5.1,,
1881,11,11.5,5.9,,
1881,12,6.2,1.2,,
1882,1,8.3,3.9,,
1882,2,9.5,4.7,,
1882,3,10.4,4.2,,
1882,4,11.1,4,,
1882,5,15.3,6.3,,
1882,6,16.2,8.9,,
1882,7,17.4,11,,
1882,8,17.7,11.2,,
1882,9,14,7.6,,
1882,10,12.3,6.6,,
1882,11,7.9,1.9,,
1882,12,4.7,-0.1,,
1883,1,7.5,2.8,,
1883,2,7.9,2.9,,
1883,3,6.5,-0.2,,
1883,4,11.9,3.6,,
1883,5,14,6,,
1883,6,16.3,9,,
1883,7,16.6,9.8,,
1883,8,17.5,11.1,,
1883,9,15.2,9.2,,
1883,10,12.3,6.2,,
1883,11,8.2,2.7,,
1883,12,7.7,2.6,,
1884,1,8.1,3.7,,
1884,2,7.4,2.4,,
1884,3,9,3.6,,
1884,4,11.2,3.2,,
1884,5,14.6,5.9,,
1884,6,17.4,8.9,,
1884,7,18.4,11.5,,
1884,8,18.8,11.8,,
1884,9,16.8,9.5,,
1884,10,12.2,5.9,,
1884,11,8.2,4.6,,
1884,12,6.2,1.6,,
1885,1,6.5,1.5,,
1885,2,8.9,1.7,,
1885,3,8.5,0.2,,
1885,4,11.1,3.4,,
1885,5,12.6,3.9,,
1885,6,17,7.2,,
1885,7,19.8,10.2,,
1885,8,18.5,9,,
1885,9,15.3,7.2,,
1885,10,10.1,3.5,,
1885,11,8.8,3.2,,
1885,12,6.9,1.8,,
1886,1,4.7,-0.8,,
1886,2,5.9,0.7,,
1886,3,7.5,1.3,,
1886,4,11.4,2.5,,
1886,5,13.6,5.1,,
1886,6,17,8.6,,
1886,7,18.4,10.3,,
1886,8,18.5,10.4,,
1886,9,15.8,7.7,,
1886,10,13.1,7,,
1886,11,9.7,3.7,,
1886,12,4.6,1.1,,
1887,1,6.6,1.2,,
1887,2,8.5,1.6,,
1887,3,8.1,0.7,,
1887,4,10.8,1.1,,
1887,5,14.5,5.7,,
1887,6,21.5,10.3,,
1887,7,20.2,11.7,,
1887,8,18.7,9.9,,
1887,9,15.2,6.8,,
1887,10,10.6,4.4,,
1887,11,7.4,1.5,,
