yyyy,mm,tmax,tmin,latitude,longitude
,,degC,degC,-4.147,51.089
1972,3,---,---,,
1972,4,---,---,,
1972,5,---,---,,
1972,6,---,---,,
1972,7,---,---,,
1972,8,---,---,,
1972,9,---,---,,
1972,10,---,---,,
1972,11,---,---,,
1972,12,---,---,,
1973,1,---,---,,
1973,2,---,---,,
1973,3,---,---,,
1973,4,---,---,,
1973,5,---,---,,
1973,6,---,---,,
1973,7,---,---,,
1973,8,---,---,,
1973,9,---,---,,
1973,10,---,---,,
1973,11,---,---,,
1973,12,---,---,,
1974,1,---,---,,
1974,2,---,---,,
1974,3,---,---,,
1974,4,---,---,,
1974,5,---,---,,
1974,6,---,---,,
1974,7,---,---,,
1974,8,---,---,,
1974,9,---,---,,
1974,10,---,---,,
1974,11,---,---,,
1974,12,---,---,,
1980,1,---,---,,
1980,2,---,---,,
1980,3,---,---,,
1980,4,---,---,,
1980,5,---,---,,
1980,6,---,---,,
1980,7,---,---,,
1980,8,---,---,,
1980,9,---,---,,
1980,10,---,---,,
1980,11,---,---,,
1980,12,---,---,,
1981,1,---,---,,
1981,2,---,---,,
1981,3,---,---,,
1981,4,---,---,,
1981,5,---,---,,
1981,6,---,---,,
1981,7,---,---,,
1981,8,---,---,,
1981,9,---,---,,
1981,10,---,---,,
1981,11,---,---,,
1981,12,---,---,,
1982,1,---,---,,
1982,2,---,---,,
1982,3,---,---,,
1982,4,---,---,,
1982,5,---,---,,
1982,6,---,---,,
1982,7,---,---,,
1982,8,---,---,,
1982,9,---,---,,
1982,10,---,---,,
1982,11,---,---,,
1982,12,---,---,,
1983,1,---,---,,
1983,2,---,---,,
1983,3,---,---,,
1983,4,---,---,,
1983,5,---,---,,
1983,6,---,---,,
1983,7,---,---,,
1983,8,---,---,,
1983,9,---,---,,
1983,10,---,---,,
1983,11,---,---,,
1983,12,---,---,,
1984,1,---,---,,
1984,2,---,---,,
1984,3,---,---,,
1984,4,---,---,,
1984,5,---,---,,
1984,6,---,---,,
1984,7,---,---,,
1984,8,---,---,,
1984,9,---,---,,
1984,10,---,---,,
1984,11,---,---,,
1984,12,---,---,,
1985,1,---,---,,
1985,2,---,---,,
1985,3,---,---,,
1985,4,---,---,,
1985,5,---,---,,
1985,6,---,---,,
1985,7,---,---,,
1985,8,---,---,,
1985,9,---,---,,
1985,10,---,---,,
1985,11,---,---,,
1985,12,---,---,,
1986,1,---,---,,
1986,2,---,---,,
1986,3,---,---,,
1986,4,9.6,3.6,,
1986,5,14.8,7.9,,
1986,6,19.1,11.2,,
1986,7,18.9,12.6,,
1986,8,17.3,11.1,,
1986,9,16.1,8.1,,
1986,10,15.6,9,,
1986,11,12.2,5.4,,
1986,12,10.9,5,,
1987,1,5,0.3,,
1987,2,8.2,2.2,,
1987,3,9.1,2.8,,
1987,4,14.9,6.5,,
1987,5,15.1,7.2,,
1987,6,16.7,10.4,,
1987,7,20.4,12.7,,
1987,8,20.4,12.6,,
1987,9,18.5,10.9,,
1987,10,14.4,7.6,,
1987,11,11,5.2,,
1987,12,9.4,4.9,,
1988,1,10.2,4.6,,
1988,2,9.5,3.2,,
1988,3,10.3,5.4,,
1988,4,13.4,5,,
1988,5,16.3,7.7,,
1988,6,19.6,11.5,,
1988,7,17.7,12.2,,
1988,8,19,12,,
1988,9,17.3,11.2,,
1988,10,15,8.7,,
1988,11,11.4,3.7,,
1988,12,10.9,6.8,,
1989,1,10.4,4.2,,
1989,2,10.6,3.8,,
1989,3,11.6,5,,
1989,4,11.4,3,,
1989,5,19.6,9.5,,
1989,6,19.9,10.4,,
1989,7,23.1,14,,
1989,8,21.4,13,,
1989,9,19.3,11.4,,
1989,10,16.2,10.3,,
1989,11,11.7,5.3,,
1989,12,9.7,2.8,,
1990,1,10.9,5.2,,
1990,2,11.8,5.6,,
1990,3,12.4,5.6,,
1990,4,13.2,4.4,,
1990,5,18.9,8.6,,
1990,6,17.4,10.6,,
1990,7,22.6,12.6,,
1990,8,21.9,14.3,,
1990,9,18.3,9.7,,
1990,10,16.1,10.2,,
1990,11,11.2,5.3,,
1990,12,8.7,2.6,,
1991,1,7.7,1.8,,
1991,2,6.8,-1.1,,
1991,3,11.9,5.3,,
1991,4,12.6,4.7,,
1991,5,15.4,8.4,,
1991,6,16.5,9.6,,
1991,7,20.3,13.5,,
1991,8,21,12.8,,
1991,9,20.4,11.4,,
1991,10,14.3,7.9,,
1991,11,11.1,5.2,,
1991,12,9,3.6,,
1992,1,7.8,1.1,,
1992,2,9.8,3.3,,
1992,3,11,5.4,,
1992,4,12.8,5.6,,
1992,5,18.6,9.2,,
1992,6,21,11,,
1992,7,20.4,13.3,,
1992,8,19,12.3,,
1992,9,17.3,10.8,,
1992,10,12.4,6.1,,
1992,11,12.3,6.1,,
1992,12,8.4,3.1,,
1993,1,10.7,4.7,,
1993,2,8.5,4,,
1993,3,11,3.8,,
1993,4,13.4,7,,
1993,5,16,8,,
1993,6,19.1,11.2,,
1993,7,18.7,12.7,,
1993,8,19.3,11.5,,
1993,9,17.5,9.5,,
1993,10,12.9,5.8,,
1993,11,10,3.6,,
1993,12,10.1,5.1,,
1994,1,9.6,4.3,,
1994,2,8.8,2.2,,
1994,3,11.3,6.3,,
1994,4,12.4,5.7,,
1994,5,15.4,7.7,,
1994,6,18,10.5,,
1994,7,21.7,13,,
1994,8,20.2,13.1,,
1994,9,16.8,11.3,,
1994,10,15.7,8.1,,
1994,11,13.8,9.7,,
1994,12,11.6,---,,
1995,1,---,---,,
1995,2,10.6,---,,
1995,3,---,---,,
1995,4,---,---,,
1995,5,---,---,,
1995,6,19.3,10.9,,
1995,7,22.8,14.3,,
1995,8,25,14.5,,
1995,9,18.5,11.4,,
1995,10,17.3,---,,
1995,11,12.5,5.6,,
1995,12,---,---,,
1996,1,8.3,4.3,,
1996,2,7.8,1.2,,
1996,3,9.7,3.1,,
1996,4,12.8,5.6,,
1996,5,14.3,6.2,,
1996,6,18.5,10,,
1996,7,20.5,12.6,,
1996,8,20.7,13,,
1996,9,18.8,10.8,,
1996,10,15.7,10.6,,
1996,11,11,5,,
1996,12,---,---,,
1997,1,6.4,1.4,,
1997,2,10.8,4.8,,
1997,3,12.4,5.8,,
1997,4,14.5,5.1,,
1997,5,17.3,8.2,,
1997,6,18.2,11.6,,
1997,7,20.4,12.7,,
1997,8,22,15.7,,
1997,9,19.3,11.3,,
1997,10,16,9,,
1997,11,13.1,6.9,,
1997,12,10.6,4.8,,
1998,1,9.5,3.8,,
1998,2,11.9,4.6,,
1998,3,11.8,6.1,,
1998,4,11.9,5.5,,
1998,5,18.3,9.5,,
1998,6,18.1,12,,
1998,7,18.7,13.3,,
1998,8,20,12.5,,
1998,9,18.8,12.5,,
1998,10,15.1,9.6,,
1998,11,11.1,5.7,,
1998,12,10.6,4,,
1999,1,10.5,4.4,,
1999,2,9.3,4.5,,
1999,3,11.2,4.7,,
1999,4,13.4,7.2,,
1999,5,17.3,10.4,,
1999,6,18,10.4,,
1999,7,21.9,13.8,,
1999,8,21.2,13.6,,
1999,9,20,11.8,,
1999,10,15.3,8.6,,
1999,11,12.2,6.5,,
1999,12,10,4.9,,
2000,1,9.1,2.6,,
2000,2,10.5,5.1,,
2000,3,11.4,4.9,,
2000,4,12.4,5,,
2000,5,16.7,9.2,,
2000,6,19,11.6,,
2000,7,19.9,12.9,,
2000,8,20.6,14,,
2000,9,19.1,12.3,,
2000,10,14.6,8.8,,
2000,11,11.2,5.9,,
2000,12,10,5.3,,
2001,1,8.3,2.7,,
2001,2,9.6,3.1,,
2001,3,10.1,4.2,,
2001,4,12,5.5,,
2001,5,17.7,9,,
2001,6,19.1,10.4,,
2001,7,20.6,13,,
2001,8,20.9,13.9,,
2001,9,18.6,11.9,,
2001,10,17.7,11.5,,
2001,11,12.6,5.4,,
2001,12,8.9,2,,
2002,1,10.3,4.8,,
2002,2,11.1,5.4,,
2002,3,12.2,5.5,,
2002,4,13.5,5.9,,
2002,5,16,8.6,,
2002,6,17.2,11.2,,
2002,7,---,12.4,,
2002,8,20.2,13.1,,
2002,9,19.4,10.4,,
2002,10,15.1,8.8,,
2002,11,13.1,7.9,,
2002,12,9.5,5.2,,
2003,1,8.4,3.1,,
2003,2,8.8,2.7,,
2003,3,13.2,4.9,,
2003,4,15.3,5.6,,
2003,5,15.5,9,,
2003,6,19.9,11.5,,
2003,7,21.1,13.8,,
2003,8,22.8,14.1,,
2003,9,20,10.3,,
2003,10,14.1,7,,
2003,11,12.6,6.3,,
2003,12,9.9,4.3,,
2004,1,9.6,4.3,,
2004,2,9.2,3.5,,
2004,3,11.1,4,,
2004,4,13.3,6.6,,
2004,5,16.7,8.4,,
2004,6,19.2,12,,
2004,7,---,---,,
2004,8,21.1,14.3,,
2004,9,18.9,12.8,,
2004,10,14.5,8.7,,
2004,11,12.3,7.6,,
2004,12,10.2,4.7,,
2005,1,10.4,5.7,,
2005,2,8.2,2.9,,
2005,3,11.4,5.2,,
2005,4,13.7,6.5,,
2005,5,15.6,8.2,,
2005,6,19.6,12.4,,
2005,7,20.8,14.2,,
2005,8,20.4,12.3,,
2005,9,19.6,12.1,,
2005,10,16.8,11.4,,
2005,11,11.6,4,,
2005,12,9.5,2.9,,
2006,1,8.4,2.7,,
2006,2,7.5,2.4,,
2006,3,9.5,3.9,,
2006,4,12.9,6.3,,
2006,5,15.8,8.9,,
2006,6,20.4,---,,
2006,7,24.2,14.5,,
2006,8,20,14.1,,
2006,9,21.3,13.6,,
2006,10,16.8,11.3,,
2006,11,13,5.7,,
2006,12,10.4,5.9,,
2007,1,10.8,6.1,,
