yyyy,mm,tmax,tmin,latitude,longitude
,,degC,degC,-2.786,54.67
1976,11,8,2,,
1976,12,2.9,-2.1,,
1977,1,3.8,-1.9,,
1977,2,5.6,0.2,,
1977,3,9.1,2.8,,
1977,4,9.7,2.9,,
1977,5,14.4,4.1,,
1977,6,16.6,7.1,,
1977,7,19.5,10.2,,
1977,8,18.6,9.4,,
1977,9,14.8,8.5,,
1977,10,14,8.1,,
1977,11,7.5,2.2,,
1977,12,7,2.7,,
1978,1,4.1,-0.9,,
1978,2,3.6,-1.7,,
1978,3,8.5,2.7,,
1978,4,9.4,2,,
1978,5,16.3,5.8,,
1978,6,17,8.2,,
1978,7,17.5,9.4,,
1978,8,17.2,10.4,,
1978,9,15.9,9.9,,
1978,10,13.8,8.1,,
1978,11,10.4,4.5,,
1978,12,4.9,0.2,,
1979,1,2.4,-4.7,,
1979,2,3.3,-2.1,,
1979,3,5.8,0.8,,
1979,4,9.5,3,,
1979,5,12.4,4.4,,
1979,6,18.1,9.4,,
1979,7,18.3,10.4,,
1979,8,17.5,9.6*,,
1979,9,15.5,8,,
1979,10,13.2,6.8,,
1979,11,8.6,1.9,,
1979,12,6.5,1.3,,
1980,1,3.5,-1.8,,
1980,2,6.7,2.1,,
1980,3,6.1,0.1,,
1980,4,12.6,3.1,,
1980,5,15.6,4.5,,
1980,6,16.4,8.2,,
1980,7,17.5,9.4,,
1980,8,17.8,10.6*,,
1980,9,16.2,9.6,,
1980,10,10.5,4,,
1980,11,8,3.3,,
1980,12,7.7,2.2,,
1981,1,6.4,0.4,,
1981,2,5.2,-0.6,,
1981,3,9.2,3,,
1981,4,11.2,2.4,,
1981,5,15.1,6.2,,
1981,6,15.7,8.6,,
1981,7,17.8,10.4,,
1981,8,19.4,10.4,,
1981,9,17.2,9.4,,
1981,10,9.9,2.7,,
1981,11,9.6,4,,
1981,12,1.9,-4.4,,
1982,1,4.9,-0.9,,
1982,2,7.3,1.6,,
1982,3,9.1,1.5,,
1982,4,12.9,3.5,,
1982,5,15.4,5.2,,
1982,6,17.6,9.6,,
1982,7,20.4,*   10.7*,,
1982,8,18.2,10.8,,
1982,9,16.5,9.1,,
1982,10,11.8,6.1,,
1982,11,9.1,4,,
1982,12,5.8,0.5,,
1983,1,8.1,3.1,,
1983,2,3.9,-1.7,,
1983,3,8.2,2.5,,
1983,4,9.4,1.6,,
1983,5,12.6,5.5,,
1983,6,17,8.7,,
1983,7,22.5,*   12.1*,,
1983,8,21.3,*   10.8*,,
1983,9,15.2,*    8.4*,,
1983,10,12.2,*    5.8*,,
1983,11,9.2,*    3.5*,,
1983,12,7.9,*    2.1*,,
1984,1,4.5,-0.8,,
1984,2,5.6,0.4,,
1984,3,6.6,1.9,,
1984,4,12.7,2.6,,
1984,5,14.9,4,,
1984,6,17.6,*    8.7*,,
1984,7,21.3,*   10.1*,,
1984,8,21.3,*   10.4*,,
