yyyy,mm,tmax,tmin,latitude,longitude
,,degC,degC,-0.624,54.481
1968,11,8.5,5.1,,
1968,12,5.7,1.5,,
1969,1,7.3,2.2,,
1969,2,3.1,-0.8,,
1969,3,4.5,0.4,,
1969,4,8.9,2.9,,
1969,5,11.9,6.4,,
1969,6,16,8.2,,
1969,7,19.6,11.9,,
1969,8,17.7,12.2,,
1969,9,16.5,10.3,,
1969,10,15.4,9,,
1969,11,7.9,2.2,,
1969,12,5.8,1.4,,
1970,1,5.4,1.3,,
1970,2,5.2,-0.2,,
1970,3,6.8,0.7,,
1970,4,8.8,2.7,,
1970,5,13.5,7.3,,
1970,6,17.1,9.5,,
1970,7,18,11.3,,
1970,8,17.7,11.4,,
1970,9,17.6,10.3,,
1970,10,13.8,6.8,,
1970,11,9.8,4,,
1970,12,7,2.6,,
1971,1,6.6,2,,
1971,2,7.7,1.9,,
1971,3,7.6,2,,
1971,4,8.9,3.3,,
1971,5,13.4,5.9,,
1971,6,13.4,8.2,,
1971,7,18.4,11.1,,
1971,8,17.4,10.8,,
1971,9,16.7,9.2,,
1971,10,14.4,7.4,,
1971,11,9.2,3.4,,
1971,12,9.2,4.3,,
1972,1,---,1.7,,
1972,2,---,1.4,,
1972,3,---,1.8,,
1972,4,10.5,4.2,,
1972,5,12.7,6.1,,
1972,6,15.3,7.8,,
1972,7,16.9,10.2,,
1972,8,17.2,9.9,,
1972,9,14,7.2,,
1972,10,---,---,,
1972,11,---,---,,
1972,12,---,---,,
1973,1,---,---,,
1973,2,---,---,,
1973,3,---,---,,
1973,4,8.4,3.3,,
1973,5,13,6.1,,
1973,6,17.5,10,,
1973,7,17.1,11,,
1973,8,17.5,10.7,,
1973,9,16.3,9.7,,
1973,10,11.7,6.5,,
1973,11,8.8,2.7,,
1973,12,7.4,0.9,,
1974,1,8.1,2.3,,
1974,2,7.8,2.6,,
1974,3,7,2.1,,
1974,4,7.1,3.5,,
1974,5,12.9,6.5,,
1974,6,15.2,8.5,,
1974,7,17.5,10.9,,
1974,8,18.4,11.1,,
1974,9,15.2,8.3,,
1974,10,10.1,5.3,,
1974,11,8.5,3.2,,
1974,12,10,4.4,,
1975,1,8.9,3,,
1975,2,6.6,1.4,,
1975,3,6.9,2,,
1975,4,10.4,4.1,,
1975,5,10.4,4.7,,
1975,6,16.1,8.3,,
1975,7,19,11.3,,
1975,8,20.5,12.3,,
1975,9,16.5,8.4,,
1975,10,12.7,6.1,,
1975,11,9.2,3.6,,
1975,12,8.5,3.3,,
1976,1,8,2.4,,
1976,2,7,2.1,,
1976,3,6.9,1.8,,
1976,4,9.7,3.9,,
1976,5,13.6,6.7,,
1976,6,20.2,10.9,,
1976,7,19.9,11.3,,
1976,8,18.6,10.9,,
1976,9,15.1,9.3,,
1976,10,13,7.8,,
1976,11,8.7,3,,
1976,12,4.8,0.4,,
1977,1,5.2,0.4,,
1977,2,6.4,1.8,,
1977,3,9.3,3.4,,
1977,4,9.8,3.2,,
1977,5,11.6,6,,
1977,6,13.6,7.9,,
1977,7,17.1,11.1,,
1977,8,16.6,11.4,,
1977,9,15.8,9.4,,
1977,10,14.2,8.2,,
1977,11,9.2,4.3,,
1977,12,8,4,,
1978,1,5.4,0.3,,
1978,2,4.6,-0.7,,
1978,3,---,2.2,,
1978,4,7.6,2.3,,
1978,5,11.7,6.6,,
1978,6,15.6,9,,
1978,7,16.4,9.9,,
1978,8,16.2,11.3,,
1978,9,16.5,10.3,,
1978,10,14.4,8.8,,
1978,11,11.4,5.5,,
1978,12,6.6,1.6,,
1979,1,3.5,-2.2,,
1979,2,3.6,-0.5,,
1979,3,7,1.5,,
1979,4,9.3,3.8,,
1979,5,12.2,5.3,,
1979,6,15.8,8.9,,
1979,7,18.4,11.5,,
1979,8,17.2,10.1,,
1979,9,16.7,8.4,,
1979,10,13.2,8,,
1979,11,9.5,3.4,,
1979,12,7.8,3.8,,
1980,1,4.7,0.5,,
1980,2,7.2,2.5,,
1980,3,6.5,1.3,,
1980,4,9.8,4.7,,
1980,5,---,5.7,,
1980,6,16.2,9.8,,
1980,7,16.4,10.7,,
1980,8,18,11.5,,
1980,9,17.6,10.8,,
1980,10,11.6,5.5,,
1980,11,9.3,5,,
1980,12,8.9,2.3,,
1981,1,7.6,1,,
1981,2,5.9,0.8,,
1981,3,9.2,3.6,,
1981,4,8.9,4,,
1981,5,13.6,6.9,,
1981,6,16,9.6,,
1981,7,17.9,11.4,,
1981,8,18.5,11.7,,
1981,9,17.8,10.4,,
1981,10,---,---,,
1981,11,10.3,4.1,,
1981,12,4.2,-1.9,,
1982,1,6,-0.4,,
1982,2,7.3,1.7,,
1982,3,8.4,2.3,,
1982,4,10.7,4.3,,
1982,5,13.9,6.1,,
1982,6,15.6,10.2,,
1982,7,17.6,11.7,,
1982,8,18,11.8,,
1982,9,17.8,10,,
1982,10,12.3,7.1,,
1982,11,9.7,4.6,,
