Aberporth,,,,
,,,,
,,,,
,,,,
,,,,
yyyy  mm,tmax,tmin,latitude,longitude
,degC,degC,-4.57,52.139
1941   1,---,---,,
1941   2,---,---,,
1941   3,---,---,,
1941   4,---,---,,
1941   5,---,---,,
1941   6,---,---,,
1941   7,---,---,,
1941   8,---,---,,
1941   9,---,---,,
1941  10,---,---,,
1941  11,---,---,,
1941  12,---,---,,
20/12/2010,12.7,8.2,,
20/12/2011,9.6,4.9,,
20/12/2012,8.4,4.2,,
2013   1,6.8,3.1,,
2013   2,6.7,2,,
2013   3,6.6,1,,
2013   4,10.3,4.3,,
2013   5,12.2,6.4,,
2013   6,15.9,9.9,,
2013   7,20.7,13.6,,
2013   8,18.6,13.2,,
2013   9,16.8,11.6,,
2013  10,14.8,10.9,,
2013  11,10,5.7,,
2013  12,9.6,4.8,,
2014   1,8.4,4,,
2014   2,8.3,3.8,,
2014   3,10.5,4.4,,
2014   4,12.7,6.9,,
2014   5,14.3,8.9,,
2014   6,17.1,11.1,,
2014   7,19.3,13.4,,
2014   8,17.5,12.2,,
2014   9,18.3,11.9,,
2014  10,14.7,10.1,,
2014  11,11.2,6.4,,
2014  12,8.9,4.9,,
2015   1,7.7,3.5,,
2015   2,6.9,2.5,,
2015   3,8.8,3.8,,
2015   4,12.8,5.4,,
2015   5,12.9,7.7,,
2015   6,16.7,10.2,,
2015   7,17.8,12.1,,
2015   8,17.6,11.7,,
2015   9,16,10.2,,
2015  10,13.9,8.8,,
2015  11,12.6,7.7,,
2015  12,11.8,7.7,,
2016   1,8.9,4.5,,
2016   2,7.8,3.5,,
2016   3,8.7,3.5,,
2016   4,10.2,4.9,,
2016   5,15.2,8.8,,
2016   6,17,11.7,,
2016   7,18.3,12.9,,
2016   8,18.9,13.2,,
2016   9,17.9,12.2,,
2016  10,14.1,8.6,,
2016  11,9.4,5.4,,
2016  12,10,5.4,,
2017   1,7.9,3.9,,
2017   2,8.8,4.6,,
2017   3,11.1,5.5,,
2017   4,11.5,6.6,,
2017   5,16.2,9.4,,
2017   6,17.8,11.8,,
2017   7,18.3,12.6,,
2017   8,17.6,12,,
2017   9,15.9,11,,
2017  10,14.6,10.5,,
2017  11,10.7,6.6,,
2017  12,8.6,4.9,,
2018   1,8.4,3.8,,
2018   2,6.3,1.3,,
2018   3,7.7,2.3,,
2018   4,12.1,6.4,,
2018   5,15.3,8.1,,
2018   6,19.1,12.4,,
2018   7,20.3,13.4,,
2018   8,18.5,12.6,,
2018   9,16,10.8,,
2018  10,13.5,8.5,,
2018  11,10.9,6.3,,
2018  12,9.9,6.3,,
2019   1,7.3,3.8,,
2019   2,11,5,,
2019   3,10.1,5.1,,
2019   4,13.3,6.4,,
2019   5,14.2,7.9,,
2019   6,16.3,10.6,,
2019   7,19.2,13.2,,
2019   8,19.4,13.4,,
2019   9,17.2,11.8,,
2019  10,13.1,8.4,,
2019  11,9.3,5.5,,
2019  12,9.1,4.6,,
2020   1,8.9,4.7,,
2020   2,9,4.4,,
2020   3,9.9,4,,
2020   4,14.8,7,,
2020   5,16.8,8.6,,
2020   6,17,11.2,,
2020   7,17.2,12.2,,
2020   8,18.6,13.5,,
2020   9,17.2,11.1,,
2020  10,12.8,8.4,,
2020  11,11.7,6.8,,
2020  12,8.6,4.6,,
2021   1,6.9,2.8,,
2021   2,7.9,2.9,,
2021   3,9.8,4.6,,
2021   4,10.9,3.9,,
2021   5,12.7,7,,
2021   6,17.4,11,,
2021   7,19.2,13.7,,
2021   8,17.8,12.5,,
2021   9,18.3,12.9,,
2021  10,14.5,10.3,,
2021  11,10.9,7,,
2021  12,10,5.7,,
2022   1,8.6,4.1,,
2022   2,9.8,5,,
2022   3,11.4,5.2,,
2022   4,12.3,5.9,,
2022   5,15.6,9.5,,
2022   6,17.2,10.7,,
2022   7,19.8,13.4,,
2022   8,20.6,14.1,,
2022   9,17.3,12.3,,
2022  10,15.6,10.5,,
2022  11,11.9,7.5,,
2022  12,7.6,2.3,,
2023   1,8.5,3.9,,
2023   2,9.3,4.6,,
2023   3,9.5,4.9,,
2023   4,11.9,5.9,,
2023   5,15,9.2,,
2023   6,20.1,12.9,,
2023   7,18.3,12.8,,
2023   8,18.3,13.3,,
2023   9,19.2,13.5,,
2023  10,14.7,10.1,,
2023  11,10.8,6.8,,
2023  12,10,6.6,,
2024   1,7.7,3.5,,
2024   2,9.9,6.1,,
2024   3,10.3,5.2,,
