yyyy,mm,tmax,tmin,latitude,longitude
1964,3,6.8,1,,
1964,4,12.6,4.1,,
1964,5,18.1,8,,
1964,6,17.6,9.3,,
1964,7,19.8,10.7,,
1964,8,20,10,,
1964,9,19.1,7.6,,
1964,10,12.8,3,,
1964,11,10.2,3.1,,
1964,12,6.1,-1.6,,
1965,1,6,0.3,,
1965,2,5.5,0.1,,
1965,3,9.4,-0.5,,
1965,4,12.3,3.2,,
1965,5,15.5,6.9,,
1965,6,18.9,9.3,,
1965,7,17.4,9.9,,
1965,8,19.4,9.2,,
1965,9,15.5,7.6,,
1965,10,14,6.2,,
1965,11,7,0.9,,
1965,12,7.5,0.6,,
1966,1,4.9,0.3,,
1966,2,8,3.1,,
1966,3,10,2.6,,
1966,4,10.1,3.6,,
1966,5,15.7,5.9,,
1966,6,19,10.3,,
1966,7,18.6,10.1,,
1966,8,18.7,9.6,,
1966,9,17.4,8.9,,
1966,10,13.2,5.9,,
1966,11,8.1,2.4,,
1966,12,8.5,2.2,,
1967,1,7,1.5,,
1967,2,8.2,1.8,,
1967,3,10.4,3.7,,
1967,4,11.6,3.9,,
1967,5,14,6,,
1967,6,19.1,8.7,,
1967,7,21.2,11.4,,
1967,8,20.1,10.9,,
1967,9,17.4,9.4,,
1967,10,13.8,7.5,,
1967,11,8.2,1.3,,
1967,12,6.9,0.9,,
1968,1,7.5,1.6,,
1968,2,4.4,-1.7,,
1968,3,10.1,2.1,,
1968,4,12.6,2.7,,
1968,5,13.9,5.1,,
1968,6,19.2,9.8,,
1968,7,18.6,10.4,,
1968,8,19.7,10.8,,
1968,9,17.3,9.2,,
1968,10,15.3,9.2,,
1968,11,8.6,3.4,,
1968,12,5.2,0.6,,
1969,1,8.1,2.5,,
1969,2,3.3,-2.7,,
1969,3,6,0,,
1969,4,12.2,1.9,,
1969,5,15,7,,
1969,6,19,8.2,,
1969,7,21.5,11.6,,
1969,8,19.8,12.3,,
1969,9,17.4,9.2,,
1969,10,16.2,9.1,,
1969,11,8.3,1.9,,
1969,12,6.2,-0.1,,
1970,1,6.5,0,,
1970,2,6.3,-0.4,,
1970,3,7.1,-0.3,,
1970,4,10.6,2.6,,
1970,5,17.8,7.9,,
1970,6,21.5,10.4,,
1970,7,19,11.2,,
1970,8,20.1,11.1,,
1970,9,18,10.2,,
1970,10,14.3,6,,
1970,11,10.5,4.4,,
1970,12,6.8,1.4,,
1971,1,6.7,1.5,,
1971,2,7.7,0.8,,
1971,3,8.6,1.7,,
1971,4,11.7,3.1,,
1971,5,16.5,5.9,,
1971,6,16.1,8,,
1971,7,22,11.2,,
1971,8,19.5,11,,
1971,9,19,8.2,,
1971,10,15.7,6,,
1971,11,10,1.9,,
1971,12,9.3,3.9,,
1972,1,6.5,1,,
1972,2,6.9,0.5,,
1972,3,10.2,1.6,,
