,yyyy,mm,tmax,tmin,latitude,longitude,location,distance
98,1967,2,8.8,4.1,0.285,50.759,eastbourne,0.0
99,1967,3,10.8,5.6,0.285,50.759,eastbourne,0.0
100,1967,4,11.8,5,0.285,50.759,eastbourne,0.0
101,1967,5,14.7,8.9,0.285,50.759,eastbourne,0.0
102,1967,6,17.6,11,0.285,50.759,eastbourne,0.0
103,1967,7,20.6,14.3,0.285,50.759,eastbourne,0.0
104,1967,8,19.6,13.8,0.285,50.759,eastbourne,0.0
105,1967,9,17.8,12.6,0.285,50.759,eastbourne,0.0
106,1967,10,15.1,10.9,0.285,50.759,eastbourne,0.0
107,1967,11,10,4.5,0.285,50.759,eastbourne,0.0
108,1967,12,7.4,2.8,0.285,50.759,eastbourne,0.0
109,1968,1,7,2.4,0.285,50.759,eastbourne,0.0
110,1968,2,6,1.6,0.285,50.759,eastbourne,0.0
111,1968,3,9.5,4.6,0.285,50.759,eastbourne,0.0
112,1968,4,11.5,5,0.285,50.759,eastbourne,0.0
113,1968,5,13.5,8,0.285,50.759,eastbourne,0.0
114,1968,6,17.4,11.6,0.285,50.759,eastbourne,0.0
115,1968,7,19,12.7,0.285,50.759,eastbourne,0.0
116,1968,8,19.5,13.8,0.285,50.759,eastbourne,0.0
117,1968,9,17.9,12.8,0.285,50.759,eastbourne,0.0
118,1968,10,16,12.1,0.285,50.759,eastbourne,0.0
119,1968,11,9.9,6,0.285,50.759,eastbourne,0.0
120,1968,12,6.2,2.4,0.285,50.759,eastbourne,0.0
121,1969,1,9,5,0.285,50.759,eastbourne,0.0
122,1969,2,5.3,0.3,0.285,50.759,eastbourne,0.0
123,1969,3,7.8,2.6,0.285,50.759,eastbourne,0.0
124,1969,4,11.8,4.9,0.285,50.759,eastbourne,0.0
125,1969,5,14.3,8.8,0.285,50.759,eastbourne,0.0
126,1969,6,18.3,11.2,0.285,50.759,eastbourne,0.0
127,1969,7,21.3,14.3,0.285,50.759,eastbourne,0.0
128,1969,8,20.2,14.1,0.285,50.759,eastbourne,0.0
129,1969,9,18.9,12.9,0.285,50.759,eastbourne,0.0
130,1969,10,16.8,11.2,0.285,50.759,eastbourne,0.0
131,1969,11,10.7,5.2,0.285,50.759,eastbourne,0.0
132,1969,12,6.8,2.4,0.285,50.759,eastbourne,0.0
133,1970,1,7.5,3.6,0.285,50.759,eastbourne,0.0
134,1970,2,7.3,2.3,0.285,50.759,eastbourne,0.0
135,1970,3,7.8,1.9,0.285,50.759,eastbourne,0.0
136,1970,4,9.7,4.3,0.285,50.759,eastbourne,0.0
137,1970,5,15.8,9.4,0.285,50.759,eastbourne,0.0
138,1970,6,19.5,12.6,0.285,50.759,eastbourne,0.0
139,1970,7,18.4,12.7,0.285,50.759,eastbourne,0.0
140,1970,8,19.9,13.6,0.285,50.759,eastbourne,0.0
141,1970,9,18.4,12.4,0.285,50.759,eastbourne,0.0
142,1970,10,15.1,9.6,0.285,50.759,eastbourne,0.0
143,1970,11,12.1,7,0.285,50.759,eastbourne,0.0
144,1970,12,7.3,3.2,0.285,50.759,eastbourne,0.0
145,1971,1,7.8,3.9,0.285,50.759,eastbourne,0.0
146,1971,2,8.3,3.4,0.285,50.759,eastbourne,0.0
147,1971,3,8.3,3,0.285,50.759,eastbourne,0.0
148,1971,4,10.8,5.4,0.285,50.759,eastbourne,0.0
149,1971,5,15.3,8.9,0.285,50.759,eastbourne,0.0
150,1971,6,16.9,10.9,0.285,50.759,eastbourne,0.0
151,1971,7,20.8,13.9,0.285,50.759,eastbourne,0.0
152,1971,8,19.4,14.6,0.285,50.759,eastbourne,0.0
153,1971,9,18.7,11.7,0.285,50.759,eastbourne,0.0
154,1971,10,16.1,10.1,0.285,50.759,eastbourne,0.0
155,1971,11,10.5,4.4,0.285,50.759,eastbourne,0.0
156,1971,12,9.3,5.2,0.285,50.759,eastbourne,0.0
157,1972,1,6.9,3,0.285,50.759,eastbourne,0.0
158,1972,2,7.7,4.1,0.285,50.759,eastbourne,0.0
159,1972,3,10.3,4.7,0.285,50.759,eastbourne,0.0
160,1972,4,11.9,6.6,0.285,50.759,eastbourne,0.0
161,1972,5,14.2,8.8,0.285,50.759,eastbourne,0.0
162,1972,6,15.3,10.1,0.285,50.759,eastbourne,0.0
163,1972,7,19.3,13.4,0.285,50.759,eastbourne,0.0
164,1972,8,19.4,13.1,0.285,50.759,eastbourne,0.0
165,1972,9,16.9,10.3,0.285,50.759,eastbourne,0.0
166,1972,10,14.5,9.5,0.285,50.759,eastbourne,0.0
167,1972,11,10.4,5.6,0.285,50.759,eastbourne,0.0
168,1972,12,9.8,5.8,0.285,50.759,eastbourne,0.0
169,1973,1,7.8,3.8,0.285,50.759,eastbourne,0.0
170,1973,2,7.7,2.7,0.285,50.759,eastbourne,0.0
171,1973,3,10,3.6,0.285,50.759,eastbourne,0.0
172,1973,4,11,5.2,0.285,50.759,eastbourne,0.0
173,1973,5,14.1,9.1,0.285,50.759,eastbourne,0.0
174,1973,6,18.9,12.2,0.285,50.759,eastbourne,0.0
175,1973,7,19.6,13.6,0.285,50.759,eastbourne,0.0
176,1973,8,21.4,15,0.285,50.759,eastbourne,0.0
177,1973,9,18.6,12.5,0.285,50.759,eastbourne,0.0
178,1973,10,14,7.8,0.285,50.759,eastbourne,0.0
179,1973,11,10.6,5.1,0.285,50.759,eastbourne,0.0
180,1973,12,8.7,4.2,0.285,50.759,eastbourne,0.0
181,1974,1,9.5,5.8,0.285,50.759,eastbourne,0.0
182,1974,2,8.7,4.4,0.285,50.759,eastbourne,0.0
183,1974,3,9.7,4,0.285,50.759,eastbourne,0.0
184,1974,4,12.7,6,0.285,50.759,eastbourne,0.0
185,1974,5,15.2,8.6,0.285,50.759,eastbourne,0.0
186,1974,6,17.8,11.7,0.285,50.759,eastbourne,0.0
187,1974,7,18.8,13.5,0.285,50.759,eastbourne,0.0
188,1974,8,19.6,13.6,0.285,50.759,eastbourne,0.0
189,1974,9,16.8,11.3,0.285,50.759,eastbourne,0.0
190,1974,10,11.5,5.7,0.285,50.759,eastbourne,0.0
191,1974,11,11.3,6.4,0.285,50.759,eastbourne,0.0
192,1974,12,10.6,6.9,0.285,50.759,eastbourne,0.0
193,1975,1,10.2,6.2,0.285,50.759,eastbourne,0.0
194,1975,2,8.6,3.6,0.285,50.759,eastbourne,0.0
195,1975,3,8.2,3.5,0.285,50.759,eastbourne,0.0
196,1975,4,11.1,5.3,0.285,50.759,eastbourne,0.0
197,1975,5,13.5,7.8,0.285,50.759,eastbourne,0.0
198,1975,6,19.5,11.2,0.285,50.759,eastbourne,0.0
199,1975,7,20,14.4,0.285,50.759,eastbourne,0.0
200,1975,8,22.3,15.5,0.285,50.759,eastbourne,0.0
201,1975,9,18.5,12.3,0.285,50.759,eastbourne,0.0
202,1975,10,14.2,9,0.285,50.759,eastbourne,0.0
203,1975,11,10.8,5.2,0.285,50.759,eastbourne,0.0
204,1975,12,7.7,3.2,0.285,50.759,eastbourne,0.0
205,1976,1,8.3,4.6,0.285,50.759,eastbourne,0.0
206,1976,2,7.1,2.8,0.285,50.759,eastbourne,0.0
207,1976,3,7.9,3,0.285,50.759,eastbourne,0.0
208,1976,4,12.1,4.9,0.285,50.759,eastbourne,0.0
209,1976,5,16.2,9.9,0.285,50.759,eastbourne,0.0
210,1976,6,20.9,13.5,0.285,50.759,eastbourne,0.0
211,1976,7,22.8,15.8,0.285,50.759,eastbourne,0.0
212,1976,8,22.6,14.3,0.285,50.759,eastbourne,0.0
213,1976,9,18.1,11.9,0.285,50.759,eastbourne,0.0
214,1976,10,15.2,11,0.285,50.759,eastbourne,0.0
215,1976,11,10.8,6.4,0.285,50.759,eastbourne,0.0
216,1976,12,6.8,2,0.285,50.759,eastbourne,0.0
217,1977,1,6.8,2.9,0.285,50.759,eastbourne,0.0
218,1977,2,9.1,4.9,0.285,50.759,eastbourne,0.0
219,1977,3,10.4,5.6,0.285,50.759,eastbourne,0.0
220,1977,4,10.9,5.1,0.285,50.759,eastbourne,0.0
221,1977,5,15.1,8.3,0.285,50.759,eastbourne,0.0
222,1977,6,16.8,10.9,0.285,50.759,eastbourne,0.0
223,1977,7,19.9,13.6,0.285,50.759,eastbourne,0.0
224,1977,8,19.2,13.4,0.285,50.759,eastbourne,0.0
225,1977,9,17.2,11.7,0.285,50.759,eastbourne,0.0
226,1977,10,15.9,11,0.285,50.759,eastbourne,0.0
227,1977,11,10.7,6.3,0.285,50.759,eastbourne,0.0
228,1977,12,9.6,6.1,0.285,50.759,eastbourne,0.0
229,1978,1,7.4,2.5,0.285,50.759,eastbourne,0.0
230,1978,2,5.9,1.9,0.285,50.759,eastbourne,0.0
231,1978,3,9.7,4.7,0.285,50.759,eastbourne,0.0
232,1978,4,10,4.7,0.285,50.759,eastbourne,0.0
233,1978,5,15.4,8.7,0.285,50.759,eastbourne,0.0
234,1978,6,17.5,11.8,0.285,50.759,eastbourne,0.0
235,1978,7,18.3,13.4,0.285,50.759,eastbourne,0.0
236,1978,8,18.8,13.2,0.285,50.759,eastbourne,0.0
237,1978,9,18.5,12.6,0.285,50.759,eastbourne,0.0
238,1978,10,15.9,10.4,0.285,50.759,eastbourne,0.0
239,1978,11,12.4,8,0.285,50.759,eastbourne,0.0
240,1978,12,8.9,4.7,0.285,50.759,eastbourne,0.0
241,1979,1,4.8,-0.2,0.285,50.759,eastbourne,0.0
242,1979,2,5,0.8,0.285,50.759,eastbourne,0.0
243,1979,3,8.3,3.5,0.285,50.759,eastbourne,0.0
244,1979,4,11.4,5.8,0.285,50.759,eastbourne,0.0
245,1979,5,14,8,0.285,50.759,eastbourne,0.0
246,1979,6,17.1,11.6,0.285,50.759,eastbourne,0.0
247,1979,7,20,13.7,0.285,50.759,eastbourne,0.0
248,1979,8,19,13,0.285,50.759,eastbourne,0.0
249,1979,9,17.8,11.6,0.285,50.759,eastbourne,0.0
250,1979,10,15.7,10.4,0.285,50.759,eastbourne,0.0
251,1979,11,11.5,5.7,0.285,50.759,eastbourne,0.0
252,1979,12,9.5,5.8,0.285,50.759,eastbourne,0.0
253,1980,1,6.3,1.9,0.285,50.759,eastbourne,0.0
